id,title,subtitle,metadata
296,Solving Unity Environment with Deep Reinforcement Learning,End to End Project with code of a PyTorch…,{'title': 'Solving Unity Environment with Deep Reinforcement Learning End to End Project with code of a\xa0PyTorch…'}
297,Book Review: Designing Machine Learning Systems,A book review and summary of Designing Machine…,{'title': 'Book Review: Designing Machine Learning\xa0Systems A book review and summary of Designing Machine…'}
298,Sensitivity in Predictive Modeling: A Guide to Buying Paying Customers with Less Traffic,,{'title': 'Sensitivity in Predictive Modeling: A Guide to Buying Paying Customers with Less\xa0Traffic nan'}
299,"Python enumerate() Function, Explained",In this article we will explore how to use the Python…,"{'title': 'Python enumerate() Function, Explained In this article we will explore how to use the\xa0Python…'}"
300,Build an AI that answers questions based on user research data.,A guide to building an AI with a custom knowledge base using OpenAI API.,{'title': 'Build an AI that answers questions based on user research\xa0data. A guide to building an AI with a custom knowledge base using OpenAI\xa0API.'}
301,Approaching AI takeover and how to remain relevant,Avoiding FOMO and building insight for enduring…,{'title': 'Approaching AI takeover and how to remain\xa0relevant Avoiding FOMO and building insight for enduring…'}
302,Why No-Code tools are ready to disrupt,"With the right tools, we can close the gap between product and…","{'title': 'Why No-Code tools are ready to\xa0disrupt With the right tools, we can close the gap between product\xa0and…'}"
303,"Hollywood UI, lessons of design, love letter to Figma, the UX of ADHD","<em class=""markup--em markup--h4-em"">Weekly curated resources for</em>","{'title': 'Hollywood UI, lessons of design, love letter to Figma, the UX of\xa0ADHD <em class=""markup--em markup--h4-em"">Weekly curated resources for</em>'}"
304,9 Stupidly Killer Ways You Can Make Money With The Help of ChatGPT — No BS,I am making money with the…,{'title': '9 Stupidly Killer Ways You Can Make Money With The Help of ChatGPT\u200a—\u200aNo\xa0BS I am making money with\xa0the…'}
305,3 Things Successful People Don’t Do,How you can reverse engineer success,{'title': '3 Things Successful People Don’t\xa0Do How you can reverse engineer\xa0success'}
306,I've Been Growing My Site For 18 Months — Here's What I Achieved,You can grow your website and earn…,"{'title': ""I've Been Growing My Site For 18 Months\u200a—\u200aHere's What I\xa0Achieved You can grow your website and\xa0earn…""}"
307,From Ordinary to Extraordinary: 4 Ways to Harness the Power of Unique Insights in Your Content,,{'title': 'From Ordinary to Extraordinary: 4 Ways to Harness the Power of Unique Insights in Your\xa0Content nan'}
308,How Not To Get Replaced by AI?,It’s easier than you think,{'title': 'How Not To Get Replaced by\xa0AI? It’s easier than you\xa0think'}
309,"<strong class=""markup--strong markup--h3-strong"">3 Things I Wished I Learned About Making Money Writing Online Before Going All In</strong>",Nothing beats…,"{'title': '<strong class=""markup--strong markup--h3-strong"">3 Things I Wished I Learned About Making Money Writing Online Before Going All\xa0In</strong> Nothing beats…'}"
310,The Secret Reason Why Writers Will Fail At Marketing,,{'title': 'The Secret Reason Why Writers Will Fail At Marketing nan'}
311,"Yes, You CAN Become a Better Writer",,"{'title': 'Yes, You CAN Become a Better\xa0Writer nan'}"
312,From Imitation to Innovation: The Journey to Discovering Your Unique Writing Voice,It’s time to be yourself and unleash your imagination,{'title': 'From Imitation to Innovation: The Journey to Discovering Your Unique Writing\xa0Voice It’s time to be yourself and unleash your imagination'}
313,Writer’s Creativity in Three Acts,"On narratives that entrap and enchant us, and then stick with us for…","{'title': 'Writer’s Creativity in Three\xa0Acts On narratives that entrap and enchant us, and then stick with us\xa0for…'}"
314,The Unexpected Lesson I Learned From NaNoWriMo,My Take On Why It’s So Important To Win NaNoWriMo At…,{'title': 'The Unexpected Lesson I Learned From NaNoWriMo My Take On Why It’s So Important To Win NaNoWriMo At…'}
315,Using Fourier Transform of Vector Representations Derived from BERT Embeddings for Semantic Closeness Evaluation,,{'title': 'Using Fourier Transform of Vector Representations Derived from BERT Embeddings for Semantic Closeness Evaluation nan'}
316,A Data-Driven Method to Reduce Employee Survey Length,Reducing Survey Length While Maintaining…,{'title': 'A Data-Driven Method to Reduce Employee Survey\xa0Length Reducing Survey Length While Maintaining…'}
317,Defining Interpretable Features,A summary of the findings and developed taxonomy developed by MIT…,{'title': 'Defining Interpretable Features A summary of the findings and developed taxonomy developed by\xa0MIT…'}
318,"<strong class=""markup--strong markup--h3-strong"">BERxiT: Early Exiting for BERT</strong>","<em class=""markup--em markup--h4-em"">Presenting the “early exiting” method for efficient inference in deep</em>","{'title': '<strong class=""markup--strong markup--h3-strong"">BERxiT: Early Exiting for\xa0BERT</strong> <em class=""markup--em markup--h4-em"">Presenting the “early exiting” method for efficient inference in\xa0deep</em>'}"
319,Learning Python for Data Science On-the-Job Part 1: Philosophy,Practical advice and philosophy on how…,{'title': 'Learning Python for Data Science On-the-Job Part 1: Philosophy Practical advice and philosophy on\xa0how…'}
320,Gradient Descent: Optimisation and Initialisation Explained,A high-level introduction to optimisation…,{'title': 'Gradient Descent: Optimisation and Initialisation Explained A high-level introduction to optimisation…'}
321,Did Star Trek predict the future of UX?,,{'title': 'Did Star Trek predict the future of\xa0UX? nan'}
322,Will ChatGPT spark the next financial bubble?,What we can learn from the dot-com era and how to…,{'title': 'Will ChatGPT spark the next financial bubble? What we can learn from the dot-com era and how\xa0to…'}
323,Personalized experiences: When do they become behaviour change?,Designers are often trying to…,{'title': 'Personalized experiences: When do they become behaviour change? Designers are often trying\xa0to…'}
324,Five steps for tackling design debt,"What is design debt, why it exists and the most effective…","{'title': 'Five steps for tackling design\xa0debt What is design debt, why it exists and the most effective…'}"
325,Ludic audio and player performance,Part 1: Comprehensive and Indicative sounds,{'title': 'Ludic audio and player performance Part 1: Comprehensive and Indicative sounds'}
326,The Cheat Code to Building Wealth in Less than 5 Years,A simple 4-step formula you can copy in a…,{'title': 'The Cheat Code to Building Wealth in Less than 5\xa0Years A simple 4-step formula you can copy in\xa0a…'}
327,5 Small Things I Wish I knew When I Was Making $0 on the Internet,Things to watch out for when writing…,{'title': '5 Small Things I Wish I knew When I Was Making $0 on the\xa0Internet Things to watch out for when\xa0writing…'}
328,"Enough Freelancing, Go Get a Real Job!",Freelancing is hardcore.,"{'title': 'Enough Freelancing, Go Get a Real\xa0Job! Freelancing is hardcore.'}"
329,How to create an online business that makes you happy (even when your job is ok),Lessons from the top…,{'title': 'How to create an online business that makes you happy (even when your job is\xa0ok) Lessons from the\xa0top…'}
330,4 Perfect Ways To Polish Your Imperfect Writing,"Before you’re a writer, you’re a reader.","{'title': '4 Perfect Ways To Polish Your Imperfect Writing Before you’re a writer, you’re a\xa0reader.'}"
331,Five Practical Tools Working Writers Really Need Now,Productivity rocks!,{'title': 'Five Practical Tools Working Writers Really Need\xa0Now Productivity rocks!'}
332,My Loneliest Year Was Also My Most Successful,How to leverage solitude into income in 2023,{'title': 'My Loneliest Year Was Also My Most Successful How to leverage solitude into income in\xa02023'}
333,5 Strategies to Help You Beat a Blank Page,it’s not that hard to beat writer’s block!,{'title': '5 Strategies to Help You Beat a Blank\xa0Page it’s not that hard to beat writer’s\xa0block!'}
334,4 Bright-Ass Signs Your Article Is Off The Rails,And what to do when you see them,{'title': '4 Bright-Ass Signs Your Article Is Off The\xa0Rails And what to do when you see\xa0them'}
335,"We’re Writers, Not Rocket Surgeons",Our mistakes aren’t fatal,"{'title': 'We’re Writers, Not Rocket\xa0Surgeons Our mistakes aren’t\xa0fatal'}"
336,Digital Marketing Analysis with Python and MySQL,A digital marketing analytics exercise with explained…,{'title': 'Digital Marketing Analysis with Python and\xa0MySQL A digital marketing analytics exercise with explained…'}
337,"<strong class=""markup--strong markup--h3-strong"">Mixture Models, Latent Variables and the Expectation Maximization Algorithm</strong>",,"{'title': '<strong class=""markup--strong markup--h3-strong"">Mixture Models, Latent Variables and the Expectation Maximization Algorithm</strong> nan'}"
338,"<strong class=""markup--strong markup--h3-strong"">A comprehensive guide on creating UI designs for iOS apps</strong>",,"{'title': '<strong class=""markup--strong markup--h3-strong"">A comprehensive guide on creating UI designs for iOS\xa0apps</strong> nan'}"
339,I Got Fired From My 9–5 For Having a Medium Account,I was abruptly fired from a very nice 75k-a-year…,{'title': 'I Got Fired From My 9–5 For Having a Medium\xa0Account I was abruptly fired from a very nice 75k-a-year…'}
340,Why Most People Fail to Create Part-Time,The simple truth about building alongside your full-time thing,{'title': 'Why Most People Fail to Create Part-Time The simple truth about building alongside your full-time thing'}
341,Don’t Waste Your Time on LinkedIn. Do This Instead,Time is precious. Invest in it.,{'title': 'Don’t Waste Your Time on LinkedIn. Do This\xa0Instead Time is precious. Invest in\xa0it.'}
342,Want to Be a Successful Writer? Start with These 9 Simple Habits,If you want to make a living with…,{'title': 'Want to Be a Successful Writer? Start with These 9 Simple\xa0Habits If you want to make a living\xa0with…'}
343,Don’t ask for the meeting yet,How to work leads differently in your buyer journey,{'title': 'Don’t ask for the meeting\xa0yet How to work leads differently in your buyer\xa0journey'}
344,Q&A: Dailyn Rodriguez on the Challenges She Had to Overcome to Become a Successful TV Showrunner,,{'title': 'Q&A: Dailyn Rodriguez on the Challenges She Had to Overcome to Become a Successful TV Showrunner nan'}
345,Salman Rushdie’s Sh*t Detector Tip Is The Best Writing Advice Ever,If that little voice says it’s…,{'title': 'Salman Rushdie’s Sh*t Detector Tip Is The Best Writing Advice\xa0Ever If that little voice says\xa0it’s…'}
346,How Annie Dillard Can Help You Overcome Impostor Syndrome,Her words explain why yours are valuable and…,{'title': 'How Annie Dillard Can Help You Overcome Impostor\xa0Syndrome Her words explain why yours are valuable\xa0and…'}
347,An Introduction to Polars for Pandas Users,Demonstrating how to use the new blazing fast DataFrame library for interacting with tabular data,{'title': 'An Introduction to Polars for Pandas\xa0Users Demonstrating how to use the new blazing fast DataFrame library for interacting with tabular\xa0data'}
348,"<strong class=""markup--strong markup--h3-strong"">Model Evaluation in Time Series Forecasting</strong>",Introducing backtesting for time series using the…,"{'title': '<strong class=""markup--strong markup--h3-strong"">Model Evaluation in Time Series Forecasting</strong> Introducing backtesting for time series using\xa0the…'}"
349,"<strong class=""markup--strong markup--h3-strong"">Experience can’t be designed: free yourself from UX</strong>","Forget your title, this is about how to work…","{'title': '<strong class=""markup--strong markup--h3-strong"">Experience can’t be designed: free yourself from\xa0UX</strong> Forget your title, this is about how to\xa0work…'}"
350,What would a designer change in the official Scrum Guide?,"<em class=""markup--em markup--h4-em"">We are expecting an update to the “Scrum</em>","{'title': 'What would a designer change in the official Scrum\xa0Guide? <em class=""markup--em markup--h4-em"">We are expecting an update to the\xa0“Scrum</em>'}"
351,"I Investigated a Curious, $997 Writing Platform to See If It’s Worth It",My honest experience with…,"{'title': 'I Investigated a Curious, $997 Writing Platform to See If It’s Worth\xa0It My honest experience with…'}"
352,Stop Dreaming. Here’s How You Can Quit Your 9–5 Job and Become A Digital Nomad in 2023,,{'title': 'Stop Dreaming. Here’s How You Can Quit Your 9–5 Job and Become A Digital Nomad in\xa02023 nan'}
353,"Here’s How I Plan To Earn $10,000 Per Month As A Freelancer",Creating a Freelancer USP,"{'title': 'Here’s How I Plan To Earn $10,000 Per Month As A Freelancer Creating a Freelancer USP'}"
354,I Doubled My Podcast Listens By Changing This One Thing,How I went from 80 average listens to 200,{'title': 'I Doubled My Podcast Listens By Changing This One\xa0Thing How I went from 80 average listens to\xa0200'}
355,7 Simple Ways to Dramatically Improve Your Writing Skills,Use these tested techniques to make your…,{'title': '7 Simple Ways to Dramatically Improve Your Writing\xa0Skills Use these tested techniques to make\xa0your…'}
356,Writers and Mental Health,What writers can do to care for their mental health,{'title': 'Writers and Mental\xa0Health What writers can do to care for their mental\xa0health'}
357,A 7-Step Guide to the Novel-Writing Process,"Writing a great novel is never easy, but this process…","{'title': 'A 7-Step Guide to the Novel-Writing Process Writing a great novel is never easy, but this\xa0process…'}"
358,How to write for someone smarter than you,Scintillate them — they’ll thank you for it,{'title': 'How to write for someone smarter than\xa0you Scintillate them\u200a—\u200athey’ll thank you for\xa0it'}
359,Uplift Modeling with Cost Optimization,How to adjust CATE to consider costs associated with your…,{'title': 'Uplift Modeling with Cost Optimization How to adjust CATE to consider costs associated with\xa0your…'}
360,How To Improve The Performance of Python Functions,Speeding up frequently called functions in Python,{'title': 'How To Improve The Performance of Python Functions Speeding up frequently called functions in\xa0Python'}
361,"<strong class=""markup--strong markup--h3-strong"">Data Scientists: Problem Solvers First, Algorithm Wizards Second</strong>",,"{'title': '<strong class=""markup--strong markup--h3-strong"">Data Scientists: Problem Solvers First, Algorithm Wizards\xa0Second</strong> nan'}"
362,Setting up a flask application for Data Science,The basic structure of a flask application to allow…,{'title': 'Setting up a flask application for Data\xa0Science The basic structure of a flask application to\xa0allow…'}
363,Delta Lake — Automatic Schema Evolution,What happens and what you can/can’t do when merging evolutive…,{'title': 'Delta Lake\u200a—\u200aAutomatic Schema Evolution What happens and what you can/can’t do when merging evolutive…'}
364,Electric Cars In the Netherlands: Exploratory Data Analysis with Python and SQLAlchemy (Part 2),,{'title': 'Electric Cars In the Netherlands: Exploratory Data Analysis with Python and SQLAlchemy (Part\xa02) nan'}
365,Quick Text Sentiment Analysis with R,Use TidyText to create a nice and quick text analysis with R,{'title': 'Quick Text Sentiment Analysis with\xa0R Use TidyText to create a nice and quick text analysis with\xa0R'}
366,Simple way to Deploy ML Models as Flask APIs on Amazon ECS,Deploy Flask APIs on Amazon ECS in 4…,{'title': 'Simple way to Deploy ML Models as Flask APIs on Amazon\xa0ECS Deploy Flask APIs on Amazon ECS in\xa04…'}
367,5 Functions is All You Need to Manage Your Data with dplyr,How to efficiently make your data…,{'title': '5 Functions is All You Need to Manage Your Data with\xa0dplyr How to efficiently make your\xa0data…'}
368,Essential Evaluation Metrics for Classification Problems in Machine Learning,A Comprehensive Guide to…,{'title': 'Essential Evaluation Metrics for Classification Problems in Machine\xa0Learning A Comprehensive Guide\xa0to…'}
369,"<strong class=""markup--strong markup--h3-strong"">Software Specification in Agile Projects</strong>",Raw insights from IBM’s biggest transformation projects,"{'title': '<strong class=""markup--strong markup--h3-strong"">Software Specification in Agile\xa0Projects</strong> Raw insights from IBM’s biggest transformation projects'}"
370,The Path towards AI Regulation,The contribution of the AI Act its impact,{'title': 'The Path towards AI Regulation The contribution of the AI Act its\xa0impact'}
371,Machine learning on multioutput datasets: a quick guide,How to train and validate ML models on…,{'title': 'Machine learning on multioutput datasets: a quick\xa0guide How to train and validate ML models\xa0on…'}
372,From UX to Growth Design: 5 principles to multiply your value,The evolution of Growth design over the years and what you can adapt from it to strengthen your product and design skillset.,{'title': 'From UX to Growth Design: 5 principles to multiply your\xa0value The evolution of Growth design over the years and what you can adapt from it to strengthen your product and design skillset.'}
373,Navigating New UI: How to Ease Users into Major Changes,Three techniques to help users transition: 1)…,{'title': 'Navigating New UI: How to Ease Users into Major\xa0Changes Three techniques to help users transition: 1)…'}
374,"<strong class=""markup--strong markup--h3-strong"">The TAO of UX</strong>",Ancient Chinese philosophy and modern UX design — being in a “flow” state of mind as an…,"{'title': '<strong class=""markup--strong markup--h3-strong"">The TAO of\xa0UX</strong> Ancient Chinese philosophy and modern UX design\u200a—\u200abeing in a “flow” state of mind as\xa0an…'}"
375,How to have better (and fewer) meetings with your UX team,The definitive guide to more effective…,{'title': 'How to have better (and fewer) meetings with your UX\xa0team The definitive guide to more effective…'}
376,Scrolling for dopamine: the impact of social media on our lives,When social media swings between a…,{'title': 'Scrolling for dopamine: the impact of social media on our\xa0lives When social media swings between\xa0a…'}
377,FTC vs. deceptive design in privacy,,{'title': 'FTC vs. deceptive design in\xa0privacy nan'}
378,"<strong class=""markup--strong markup--h3-strong"">Say Goodbye to ChatGPT: Here Are New AI Tools That Will Blow Your Mind</strong>",Using these tools will surely…,"{'title': '<strong class=""markup--strong markup--h3-strong"">Say Goodbye to ChatGPT: Here Are New AI Tools That Will Blow Your\xa0Mind</strong> Using these tools will\xa0surely…'}"
379,7 Passive Income Ideas — How I Earn $350 A Day,#7: Artificial Intelligence Outsourcing,{'title': '7 Passive Income Ideas\u200a—\u200aHow I Earn $350 A\xa0Day #7: Artificial Intelligence Outsourcing'}
380,I Have 1M Views and 20k Subscribers. Yet I Don’t Think YouTube is for Everybody,Here’s why.,{'title': 'I Have 1M Views and 20k Subscribers. Yet I Don’t Think YouTube is for Everybody Here’s why.'}
381,Why You Should Work on a Million Drafts at Once,Adopt a promiscuous writing…,{'title': 'Why You Should Work on a Million Drafts at\xa0Once Adopt a promiscuous writing…'}
382,Need Help With Your Writing Journey? Here’s What To Do,Literary Therapy — Where to Find It and Why…,{'title': 'Need Help With Your Writing Journey? Here’s What To\xa0Do Literary Therapy\u200a—\u200aWhere to Find It and\xa0Why…'}
383,Uncomfortable Questions to Ask Yourself Before You Write Your First Non-Fiction Book,,{'title': 'Uncomfortable Questions to Ask Yourself Before You Write Your First Non-Fiction Book nan'}
384,Top Writing Lessons You Can Gain From Bollywood Films,Have you ever watched them?,{'title': 'Top Writing Lessons You Can Gain From Bollywood Films Have you ever watched\xa0them?'}
385,Create Your Own Stable Diffusion UI on AWS in Minutes,Deploy a text-to-image web app with just one…,{'title': 'Create Your Own Stable Diffusion UI on AWS in\xa0Minutes Deploy a text-to-image web app with just\xa0one…'}
386,Polars: Pandas DataFrame but Much Faster,"Perform multithreaded, optimized pandas operations","{'title': 'Polars: Pandas DataFrame but Much\xa0Faster Perform multithreaded, optimized pandas operations'}"
387,Parquet Best Practices: Discover your Data without loading it,"Metadata, Statistics on Row Groups, Partitions discovery, and Repartitioning","{'title': 'Parquet Best Practices: Discover your Data without loading\xa0it Metadata, Statistics on Row Groups, Partitions discovery, and Repartitioning'}"
388,What I Look For in Every Data Analyst Candidate,From the Perspective of a Hiring Manager,{'title': 'What I Look For in Every Data Analyst Candidate From the Perspective of a Hiring\xa0Manager'}
389,"Moto, Pytest, and AWS Databases: A Quality and Data Engineering Crossroads",The hows and whys of Moto…,"{'title': 'Moto, Pytest, and AWS Databases: A Quality and Data Engineering Crossroads The hows and whys of\xa0Moto…'}"
390,How To Analyse Your Time Series Model Using Residuals,Learn how you can use the residuals of a…,{'title': 'How To Analyse Your Time Series Model Using Residuals Learn how you can use the residuals of\xa0a…'}
391,Sentence Transformers: Meanings in Disguise,How modern language…,{'title': 'Sentence Transformers: Meanings in\xa0Disguise How modern language…'}
392,Combine dbt Models Into a Single Target Table,Tutorial covering 3 patterns and their trade-offs,{'title': 'Combine dbt Models Into a Single Target\xa0Table Tutorial covering 3 patterns and their trade-offs'}
393,What I learned after running AB tests for one year as a data scientist — Part 1/2,Set up your A/B tests like a data scientist by following these simple steps,{'title': 'What I learned after running AB tests for one year as a data scientist\u200a—\u200aPart\xa01/2 Set up your A/B tests like a data scientist by following these simple\xa0steps'}
394,AWS Essentials for Data Science: Compute,Understanding and deploying EC2 and Lambda services,{'title': 'AWS Essentials for Data Science:\xa0Compute Understanding and deploying EC2 and Lambda\xa0services'}
395,How to Train the LILT Model on Invoices and Run Inference,A Step-by-Step Tutorial,{'title': 'How to Train the LILT Model on Invoices and Run Inference A Step-by-Step Tutorial'}
396,Looking through the Window— Calculating customer lifetime value with new DAX functions,,{'title': 'Looking through the Window— Calculating customer lifetime value with new DAX functions nan'}
397,Deep Dive into Handling Apache Spark Data Skew,The Ultimate Guide To Handle Data Skew In Distributed…,{'title': 'Deep Dive into Handling Apache Spark Data\xa0Skew The Ultimate Guide To Handle Data Skew In Distributed…'}
398,DataHub Hands-On Part II,"Data Ingestion, Data Discovery and Entity Linkage","{'title': 'DataHub Hands-On Part\xa0II Data Ingestion, Data Discovery and Entity\xa0Linkage'}"
399,Linear Regression — Occam’s Razor of Predictive Machine Learning Modeling,Machine learning modeling using linear regression in Python,{'title': 'Linear Regression\u200a—\u200aOccam’s Razor of Predictive Machine Learning\xa0Modeling Machine learning modeling using linear regression in\xa0Python'}
400,SMOTE and Other Options: A Comprehensive Guide to Handling Imbalanced Data,The guide on when to use…,{'title': 'SMOTE and Other Options: A Comprehensive Guide to Handling Imbalanced Data The guide on when to\xa0use…'}
401,Introducing PeekingDuck for Computer Vision,Open-source state-of-the-art computer vision models with…,{'title': 'Introducing PeekingDuck for Computer\xa0Vision Open-source state-of-the-art computer vision models\xa0with…'}
402,Road Network Edge Matching With Triangles,Triangles have mighty properties for geospatial queries,{'title': 'Road Network Edge Matching With Triangles Triangles have mighty properties for geospatial queries'}
403,The 1958 Perceptron as a Breast Cancer classifier,A practical example implemented in Mathematica,{'title': 'The 1958 Perceptron as a Breast Cancer classifier A practical example implemented in Mathematica'}
404,Can ChatGPT write a proper usability test script?,Is artificial intelligence ready to take on UX…,{'title': 'Can ChatGPT write a proper usability test\xa0script? Is artificial intelligence ready to take on\xa0UX…'}
405,Adopting a reflective practice: documenting learnings to inspire personal growth,,{'title': 'Adopting a reflective practice: documenting learnings to inspire personal\xa0growth nan'}
406,Re-opening my weekly design mentorship sessions in 2023,,{'title': 'Re-opening my weekly design mentorship sessions in\xa02023 nan'}
407,The four themes that defined UX Research in 2022,,{'title': 'The four themes that defined UX Research in\xa02022 nan'}
408,Here’s How to Join the Creator Economy in 2023 and Change Your Life,You can always join part-time to…,{'title': 'Here’s How to Join the Creator Economy in 2023 and Change Your\xa0Life You can always join part-time to…'}
409,Leave Your Ego at the Door to Build A Great Team,Leaders should foster a culture of trust.,{'title': 'Leave Your Ego at the Door to Build A Great\xa0Team Leaders should foster a culture of\xa0trust.'}
410,How to Make More Effective Product Decisions with a Zero-A Tree,,{'title': 'How to Make More Effective Product Decisions with a Zero-A\xa0Tree nan'}
411,5 Truths About Money I Learnt in One Year of Solopreneurship,Defying the old rules…,{'title': '5 Truths About Money I Learnt in One Year of Solopreneurship Defying the old\xa0rules…'}
412,"<strong class=""markup--strong markup--h3-strong"">3 Timeless Workplace Principles I Wished A Mentor Imparted Me at 25</strong>",Wisdom comes with age. It tells us…,"{'title': '<strong class=""markup--strong markup--h3-strong"">3 Timeless Workplace Principles I Wished A Mentor Imparted Me at\xa025</strong> Wisdom comes with age. It tells\xa0us…'}"
413,Want To Satisfy the Algorithm? Focus on Your Audience First,The surprising science behind audience…,{'title': 'Want To Satisfy the Algorithm? Focus on Your Audience\xa0First The surprising science behind audience…'}
414,How to Cut Working Hours Without Losing Income As a Freelancer,"As a freelancer, you’re always told to…","{'title': 'How to Cut Working Hours Without Losing Income As a Freelancer As a freelancer, you’re always told\xa0to…'}"
415,Your Writing Can Go Viral Consistently When You Master a “Writer’s Voice” Readers Can’t Forget,,{'title': 'Your Writing Can Go Viral Consistently When You Master a “Writer’s Voice” Readers Can’t\xa0Forget nan'}
416,Good News! AI Says That AI Can’t Replace Writers — BUT it Wrote it Rather Ominously,,{'title': 'Good News! AI Says That AI Can’t Replace Writers\u200a—\u200aBUT it Wrote it Rather Ominously nan'}
417,Four Easy Techniques to Improve Your Writing Routine,Follow the circadian rhythm to write effortlessly,{'title': 'Four Easy Techniques to Improve Your Writing\xa0Routine Follow the circadian rhythm to write effortlessly'}
418,Welcome to 2023. Now Take a Nap.,"This Week In Writing, we kick off a new year with a chat about goals…","{'title': 'Welcome to 2023. Now Take a\xa0Nap. This Week In Writing, we kick off a new year with a chat about\xa0goals…'}"
419,How ChatGPT Works: The Model Behind The Bot,A brief introduction to the intuition and methodology…,{'title': 'How ChatGPT Works: The Model Behind The\xa0Bot A brief introduction to the intuition and methodology…'}
420,FinOps: Four Ways to Reduce Your BigQuery Storage Cost,Don’t overlook the cloud storage cost,{'title': 'FinOps: Four Ways to Reduce Your BigQuery Storage\xa0Cost Don’t overlook the cloud storage\xa0cost'}
421,Build a WebSocket Application with FastAPI and Angular,Learn to build a two-way interactive…,{'title': 'Build a WebSocket Application with FastAPI and\xa0Angular Learn to build a two-way interactive…'}
422,Producing insights with Generalized Additive Models GAMs,Today we are going to learn how to use…,{'title': 'Producing insights with Generalized Additive Models\xa0GAMs Today we are going to learn how to\xa0use…'}
423,Categorize Free-Text Bank Transaction Descriptions Using BERT,I built myself an Expense Tracking Tool,{'title': 'Categorize Free-Text Bank Transaction Descriptions Using\xa0BERT I built myself an Expense Tracking\xa0Tool'}
424,3 Ways to Build a Geographical Map in Python Altair,A data visualization tutorial on how to build three different maps in Python Altair: choropleth…,{'title': '3 Ways to Build a Geographical Map in Python\xa0Altair A data visualization tutorial on how to build three different maps in Python Altair: choropleth…'}
425,3D Generative Modeling with DeepSDF,Simple neural networks can capture complex 3D geometries,{'title': '3D Generative Modeling with\xa0DeepSDF Simple neural networks can capture complex 3D geometries'}
426,Three Fundamental Flaws In Common Reinforcement Learning Algorithms (And How To Fix Them),,{'title': 'Three Fundamental Flaws In Common Reinforcement Learning Algorithms (And How To Fix\xa0Them) nan'}
427,Your First Step Into Computer Vision,Knowing various Computer Vision tasks and their formats,{'title': 'Your First Step Into Computer\xa0Vision Knowing various Computer Vision tasks and their\xa0formats'}
428,Stress test for your NLP models,Metrics don’t show the actual performance of NLP models. Learn how to…,{'title': 'Stress test for your NLP\xa0models Metrics don’t show the actual performance of NLP models. Learn how\xa0to…'}
429,5 Fantastic Data Pipeline Orchestration Tools For R,Explore Excellent Options for Data Pipeline…,{'title': '5 Fantastic Data Pipeline Orchestration Tools For\xa0R Explore Excellent Options for Data Pipeline…'}
430,A Visual Microphone? The Revolutionary Tech That Can Extract Audio from Images,The power of subtle…,{'title': 'A Visual Microphone? The Revolutionary Tech That Can Extract Audio from\xa0Images The power of\xa0subtle…'}
431,The 6 Benefits of Interpretable Machine Learning,How understanding your model can lead to trust…,{'title': 'The 6 Benefits of Interpretable Machine\xa0Learning How understanding your model can lead to\xa0trust…'}
432,Tableau Data Blending Tutorial — A Step-By-Step Guide For Beginners,We explore a comprehensive…,{'title': 'Tableau Data Blending Tutorial\u200a—\u200aA Step-By-Step Guide For Beginners We explore a comprehensive…'}
433,Reinforcement Learning for Inventory Optimization Series III: Sim-to-Real Transfer for the RL Model,,{'title': 'Reinforcement Learning for Inventory Optimization Series III: Sim-to-Real Transfer for the RL\xa0Model nan'}
434,"<strong class=""markup--strong markup--h3-strong"">Segmenting Text Into Sentences Using NLP</strong>","<strong class=""markup--strong markup--h4-strong"">Feature engineering, statistical model, and learning from</strong>","{'title': '<strong class=""markup--strong markup--h3-strong"">Segmenting Text Into Sentences Using\xa0NLP</strong> <strong class=""markup--strong markup--h4-strong"">Feature engineering, statistical model, and learning\xa0from</strong>'}"
435,Hyperparameter Tuning of HuggingFace Models with AWS Sagemaker SDK,Optimizing deep neural networks with the HuggingFace Estimator and Sagemaker Tuner,{'title': 'Hyperparameter Tuning of HuggingFace Models with AWS Sagemaker SDK Optimizing deep neural networks with the HuggingFace Estimator and Sagemaker Tuner'}
436,Python String Data Type Explained,In this article we will explore Python string data type,{'title': 'Python String Data Type Explained In this article we will explore Python string data\xa0type'}
437,19 Must-Visit Sites for Product Design Inspiration,My favorite sites for product design inspiration…,{'title': '19 Must-Visit Sites for Product Design Inspiration My favorite sites for product design inspiration…'}
438,UX lessons from a poet who invented social media in the 18th century,How a German poet turned his…,{'title': 'UX lessons from a poet who invented social media in the 18th\xa0century How a German poet turned\xa0his…'}
439,How to design a registration form,Step by step guide on how to start your form designs,{'title': 'How to design a registration form Step by step guide on how to start your form\xa0designs'}
440,"<strong class=""markup--strong markup--h3-strong"">How Wednesday Addams teaches us about design consumerism</strong>",,"{'title': '<strong class=""markup--strong markup--h3-strong"">How Wednesday Addams teaches us about design consumerism</strong> nan'}"
441,"Death of UX, non-violent communication, visual design rules",Weekly curated resources for designers —…,"{'title': 'Death of UX, non-violent communication, visual design\xa0rules Weekly curated resources for designers —…'}"
442,How to Do 4 Hours of the Best Work of Your Life (Without Cheap Hacks),Practical strategies you almost…,{'title': 'How to Do 4 Hours of the Best Work of Your Life (Without Cheap\xa0Hacks) Practical strategies you\xa0almost…'}
443,How to Get Your First 1000 Email Subscribers,And how those subscribers can help you build your online…,{'title': 'How to Get Your First 1000 Email Subscribers And how those subscribers can help you build your\xa0online…'}
